Date,Apple Stand Hour (count),Apple Stand Time (min),Headphone Audio Exposure (dBASPL),Step Count (count),Walking + Running Distance (km),Walking Asymmetry Percentage (%),Walking Speed (km/hr),Walking Step Length (cm) 
2016-12-10 00:00:00,,,,2025,1.23,,,
2016-12-11 00:00:00,,,,855,0.659,,,
2016-12-12 00:00:00,,,,6451,4.32,,,
2016-12-13 00:00:00,,,,11213,7.61,,,
2016-12-14 00:00:00,,,,3960,2.64,,,
2016-12-15 00:00:00,,,,6084,4.42,,,
2016-12-16 00:00:00,,,,7298,5.13,,,
2016-12-17 00:00:00,,,,2842,1.94,,,
2016-12-18 00:00:00,,,,1831,1.17,,,
2016-12-19 00:00:00,,,,3701,2.2,,,
2016-12-20 00:00:00,,,,2117,1.32,,,
2016-12-21 00:00:00,,,,1703,1.15,,,
2016-12-22 00:00:00,,,,2546,1.69,,,
2016-12-23 00:00:00,,,,773,0.573,,,
2016-12-24 00:00:00,,,,7624,4.28,,,
2016-12-25 00:00:00,,,,4257,3.09,,,
2016-12-26 00:00:00,,,,3538,2.51,,,
2016-12-27 00:00:00,,,,3474,2.52,,,
2016-12-28 00:00:00,,,,5143,3.8,,,
2016-12-29 00:00:00,,,,4543,3.14,,,
2016-12-30 00:00:00,,,,5683,4.12,,,
2016-12-31 00:00:00,,,,7513,5.19,,,
2017-01-01 00:00:00,,,,9065,5.02,,,
2017-01-02 00:00:00,,,,504,0.364,,,
2017-01-03 00:00:00,,,,11058,7.25,,,
2017-01-04 00:00:00,,,,7261,5.17,,,
2017-01-05 00:00:00,,,,6595,4.74,,,
2017-01-06 00:00:00,,,,8190,5.55,,,
2017-01-07 00:00:00,,,,1190,0.862,,,
2017-01-08 00:00:00,,,,761,0.469,,,
2017-01-09 00:00:00,,,,5494,3.86,,,
2017-01-10 00:00:00,,,,9788,6.64,,,
2017-01-11 00:00:00,,,,3152,2.2,,,
2017-01-12 00:00:00,,,,6256,4.32,,,
2017-01-13 00:00:00,,,,7683,5.35,,,
2017-01-14 00:00:00,,,,4093,2.79,,,
2017-01-15 00:00:00,,,,239,0.168,,,
2017-01-16 00:00:00,,,,2286,1.32,,,
2017-01-17 00:00:00,,,,2750,1.76,,,
2017-01-18 00:00:00,,,,339,0.231,,,
2017-01-19 00:00:00,,,,6817,4.5,,,
2017-01-20 00:00:00,,,,8612,5.71,,,
2017-01-21 00:00:00,,,,6322,3.95,,,
2017-01-22 00:00:00,,,,4524,2.73,,,
2017-01-23 00:00:00,,,,5459,3.72,,,
2017-01-24 00:00:00,,,,9389,5.87,,,
2017-01-25 00:00:00,,,,2875,1.95,,,
2017-01-26 00:00:00,,,,7172,5.09,,,
2017-01-27 00:00:00,,,,8099,5.57,,,
2017-01-28 00:00:00,,,,2189,1.35,,,
2017-01-29 00:00:00,,,,3755,2.26,,,
2017-01-30 00:00:00,,,,8012,6.07,,,
2017-01-31 00:00:00,,,,5151,3.49,,,
2017-02-01 00:00:00,,,,4916,3.46,,,
2017-02-02 00:00:00,,,,9838,6.7,,,
2017-02-03 00:00:00,,,,223,0.144,,,
2017-02-04 00:00:00,,,,4985,3.16,,,
2017-02-05 00:00:00,,,,1846,1.09,,,
2017-02-06 00:00:00,,,,5678,3.42,,,
2017-02-07 00:00:00,,,,695,0.432,,,
2017-02-08 00:00:00,,,,2707,2.11,,,
2017-02-09 00:00:00,,,,1136,0.809,,,
2017-02-10 00:00:00,,,,985,0.662,,,
2017-02-11 00:00:00,,,,2498,2.18,,,
2017-02-12 00:00:00,,,,543,0.399,,,
2017-02-13 00:00:00,,,,3672,2.33,,,
2017-02-14 00:00:00,,,,5245,3.13,,,
2017-02-15 00:00:00,,,,3410,1.98,,,
2017-02-16 00:00:00,,,,446,0.308,,,
2017-02-17 00:00:00,,,,728,0.676,,,
2017-02-18 00:00:00,,,,1661,1.16,,,
2017-02-19 00:00:00,,,,193,0.149,,,
2017-02-20 00:00:00,,,,5699,3.52,,,
2017-02-21 00:00:00,,,,8623,5.19,,,
2017-02-22 00:00:00,,,,5810,4.11,,,
2017-02-23 00:00:00,,,,7692,4.7,,,
2017-02-24 00:00:00,,,,8112,5.53,,,
2017-02-25 00:00:00,,,,3602,2.37,,,
2017-02-26 00:00:00,,,,10010,6.15,,,
2017-02-27 00:00:00,,,,4968,3.1,,,
2017-02-28 00:00:00,,,,13057,7.98,,,
2017-03-01 00:00:00,,,,2733,1.81,,,
2017-03-02 00:00:00,,,,7914,5.04,,,
2017-03-03 00:00:00,,,,7233,4.51,,,
2017-03-04 00:00:00,,,,4952,2.84,,,
